case_id,score,confidence,narrative,payload_json,resolved_payload_json
RC00000001,50,0.7800,Elevated-risk investigation for RC00000001; keep under review pending confirmation.,"{""score"":50,""confidence"":0.78,""ring"":""RING-141"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000002,51,0.7800,Elevated-risk investigation for RC00000002; keep under review pending confirmation.,"{""score"":51,""confidence"":0.78,""ring"":""RING-142"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000003,51,0.7800,Elevated-risk investigation for RC00000003; keep under review pending confirmation.,"{""score"":51,""confidence"":0.78,""ring"":""RING-143"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000004,55,0.7800,Elevated-risk investigation for RC00000004; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-144"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000005,54,0.7800,Elevated-risk investigation for RC00000005; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-145"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000006,54,0.7800,Elevated-risk investigation for RC00000006; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-146"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000007,53,0.7800,Elevated-risk investigation for RC00000007; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-147"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000008,91,0.9100,High-confidence fraud investigation for RC00000008; keep the transaction held and open dispute workflow.,"{""score"":91,""confidence"":0.91,""ring"":""RING-148"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000009,94,0.9100,High-confidence fraud investigation for RC00000009; keep the transaction held and open dispute workflow.,"{""score"":94,""confidence"":0.91,""ring"":""RING-149"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000010,53,0.7800,Elevated-risk investigation for RC00000010; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-150"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000011,53,0.7800,Elevated-risk investigation for RC00000011; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-151"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000012,57,0.7800,Elevated-risk investigation for RC00000012; keep under review pending confirmation.,"{""score"":57,""confidence"":0.78,""ring"":""RING-152"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000013,56,0.7800,Elevated-risk investigation for RC00000013; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-153"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000014,56,0.7800,Elevated-risk investigation for RC00000014; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-154"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000015,93,0.9100,High-confidence fraud investigation for RC00000015; keep the transaction held and open dispute workflow.,"{""score"":93,""confidence"":0.91,""ring"":""RING-155"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000016,55,0.7800,Elevated-risk investigation for RC00000016; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-156"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000017,93,0.9100,High-confidence fraud investigation for RC00000017; keep the transaction held and open dispute workflow.,"{""score"":93,""confidence"":0.91,""ring"":""RING-157"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000018,53,0.7800,Elevated-risk investigation for RC00000018; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-158"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000019,57,0.7800,Elevated-risk investigation for RC00000019; keep under review pending confirmation.,"{""score"":57,""confidence"":0.78,""ring"":""RING-159"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000020,52,0.7800,Elevated-risk investigation for RC00000020; keep under review pending confirmation.,"{""score"":52,""confidence"":0.78,""ring"":""RING-160"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000021,56,0.7800,Elevated-risk investigation for RC00000021; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-161"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000022,56,0.7800,Elevated-risk investigation for RC00000022; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-162"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000023,87,0.9100,High-confidence fraud investigation for RC00000023; keep the transaction held and open dispute workflow.,"{""score"":87,""confidence"":0.91,""ring"":""RING-163"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000024,55,0.7800,Elevated-risk investigation for RC00000024; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-164"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000025,95,0.9100,High-confidence fraud investigation for RC00000025; keep the transaction held and open dispute workflow.,"{""score"":95,""confidence"":0.91,""ring"":""RING-165"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000026,54,0.7800,Elevated-risk investigation for RC00000026; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-166"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000027,53,0.7800,Elevated-risk investigation for RC00000027; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-167"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000028,53,0.7800,Elevated-risk investigation for RC00000028; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-168"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000029,58,0.7800,Elevated-risk investigation for RC00000029; keep under review pending confirmation.,"{""score"":58,""confidence"":0.78,""ring"":""RING-169"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000030,95,0.9100,High-confidence fraud investigation for RC00000030; keep the transaction held and open dispute workflow.,"{""score"":95,""confidence"":0.91,""ring"":""RING-170"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000031,53,0.7800,Elevated-risk investigation for RC00000031; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-171"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000032,89,0.9100,High-confidence fraud investigation for RC00000032; keep the transaction held and open dispute workflow.,"{""score"":89,""confidence"":0.91,""ring"":""RING-172"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000033,57,0.7800,Elevated-risk investigation for RC00000033; keep under review pending confirmation.,"{""score"":57,""confidence"":0.78,""ring"":""RING-173"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000034,97,0.9100,High-confidence fraud investigation for RC00000034; keep the transaction held and open dispute workflow.,"{""score"":97,""confidence"":0.91,""ring"":""RING-174"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000035,53,0.7800,Elevated-risk investigation for RC00000035; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-175"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000036,53,0.7800,Elevated-risk investigation for RC00000036; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-176"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000037,52,0.7800,Elevated-risk investigation for RC00000037; keep under review pending confirmation.,"{""score"":52,""confidence"":0.78,""ring"":""RING-177"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000038,87,0.9100,High-confidence fraud investigation for RC00000038; keep the transaction held and open dispute workflow.,"{""score"":87,""confidence"":0.91,""ring"":""RING-178"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000039,53,0.7800,Elevated-risk investigation for RC00000039; keep under review pending confirmation.,"{""score"":53,""confidence"":0.78,""ring"":""RING-179"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000040,91,0.9100,High-confidence fraud investigation for RC00000040; keep the transaction held and open dispute workflow.,"{""score"":91,""confidence"":0.91,""ring"":""RING-180"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000041,51,0.7800,Elevated-risk investigation for RC00000041; keep under review pending confirmation.,"{""score"":51,""confidence"":0.78,""ring"":""RING-181"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000042,88,0.9100,High-confidence fraud investigation for RC00000042; keep the transaction held and open dispute workflow.,"{""score"":88,""confidence"":0.91,""ring"":""RING-182"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000043,55,0.7800,Elevated-risk investigation for RC00000043; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-183"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000044,55,0.7800,Elevated-risk investigation for RC00000044; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-184"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000045,54,0.7800,Elevated-risk investigation for RC00000045; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-185"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000046,54,0.7800,Elevated-risk investigation for RC00000046; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-186"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000047,93,0.9100,High-confidence fraud investigation for RC00000047; keep the transaction held and open dispute workflow.,"{""score"":93,""confidence"":0.91,""ring"":""RING-187"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000048,90,0.9100,High-confidence fraud investigation for RC00000048; keep the transaction held and open dispute workflow.,"{""score"":90,""confidence"":0.91,""ring"":""RING-188"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000049,56,0.7800,Elevated-risk investigation for RC00000049; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-189"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000050,55,0.7800,Elevated-risk investigation for RC00000050; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-190"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000051,55,0.7800,Elevated-risk investigation for RC00000051; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-191"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000052,54,0.7800,Elevated-risk investigation for RC00000052; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-192"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000053,54,0.7800,Elevated-risk investigation for RC00000053; keep under review pending confirmation.,"{""score"":54,""confidence"":0.78,""ring"":""RING-193"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000054,94,0.9100,High-confidence fraud investigation for RC00000054; keep the transaction held and open dispute workflow.,"{""score"":94,""confidence"":0.91,""ring"":""RING-194"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000055,92,0.9100,High-confidence fraud investigation for RC00000055; keep the transaction held and open dispute workflow.,"{""score"":92,""confidence"":0.91,""ring"":""RING-195"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000056,52,0.7800,Elevated-risk investigation for RC00000056; keep under review pending confirmation.,"{""score"":52,""confidence"":0.78,""ring"":""RING-196"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000057,89,0.9100,High-confidence fraud investigation for RC00000057; keep the transaction held and open dispute workflow.,"{""score"":89,""confidence"":0.91,""ring"":""RING-197"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000058,57,0.7800,Elevated-risk investigation for RC00000058; keep under review pending confirmation.,"{""score"":57,""confidence"":0.78,""ring"":""RING-198"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000059,57,0.7800,Elevated-risk investigation for RC00000059; keep under review pending confirmation.,"{""score"":57,""confidence"":0.78,""ring"":""RING-199"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000060,56,0.7800,Elevated-risk investigation for RC00000060; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-140"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000061,56,0.7800,Elevated-risk investigation for RC00000061; keep under review pending confirmation.,"{""score"":56,""confidence"":0.78,""ring"":""RING-141"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000062,96,0.9100,High-confidence fraud investigation for RC00000062; keep the transaction held and open dispute workflow.,"{""score"":96,""confidence"":0.91,""ring"":""RING-142"",""reason"":""PaySim-style fraud pattern: account depletion via transfer or cash-out.""}",
RC00000063,55,0.7800,Elevated-risk investigation for RC00000063; keep under review pending confirmation.,"{""score"":55,""confidence"":0.78,""ring"":""RING-143"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
RC00000064,52,0.7800,Elevated-risk investigation for RC00000064; keep under review pending confirmation.,"{""score"":52,""confidence"":0.78,""ring"":""RING-144"",""reason"":""High-risk merchant and amount significantly above customer baseline.""}",
