case_id,action_type,action_detail,status
RC00000001,Manual review,Review USD 600.00 transaction before release.,recommended
RC00000001,Write risk note,Persist cluster_RING_141 as an elevated-risk signal.,recommended
RC00000002,Manual review,Review USD 867.30 transaction before release.,recommended
RC00000002,Write risk note,Persist cluster_RING_142 as an elevated-risk signal.,recommended
RC00000003,Manual review,Review USD 1041.40 transaction before release.,recommended
RC00000003,Write risk note,Persist cluster_RING_143 as an elevated-risk signal.,recommended
RC00000004,Manual review,Review USD 3578.40 transaction before release.,recommended
RC00000004,Write risk note,Persist cluster_RING_144 as an elevated-risk signal.,recommended
RC00000005,Manual review,Review USD 2723.40 transaction before release.,recommended
RC00000005,Write risk note,Persist cluster_RING_145 as an elevated-risk signal.,recommended
RC00000006,Manual review,Review USD 2627.30 transaction before release.,recommended
RC00000006,Write risk note,Persist cluster_RING_146 as an elevated-risk signal.,recommended
RC00000007,Manual review,Review USD 1900.80 transaction before release.,recommended
RC00000007,Write risk note,Persist cluster_RING_147 as an elevated-risk signal.,recommended
RC00000008,Hold transaction,Keep USD 4290.00 held pending fraud-ops review.,recommended
RC00000008,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000008,Write pattern memory,Persist cluster_RING_148 as a future recall signal.,recommended
RC00000009,Hold transaction,Keep USD 14064.00 held pending fraud-ops review.,recommended
RC00000009,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000009,Write pattern memory,Persist cluster_RING_149 as a future recall signal.,recommended
RC00000010,Manual review,Review USD 1210.30 transaction before release.,recommended
RC00000010,Write risk note,Persist cluster_RING_150 as an elevated-risk signal.,recommended
RC00000011,Manual review,Review USD 1328.40 transaction before release.,recommended
RC00000011,Write risk note,Persist cluster_RING_151 as an elevated-risk signal.,recommended
RC00000012,Manual review,Review USD 3970.40 transaction before release.,recommended
RC00000012,Write risk note,Persist cluster_RING_152 as an elevated-risk signal.,recommended
RC00000013,Manual review,Review USD 3080.40 transaction before release.,recommended
RC00000013,Write risk note,Persist cluster_RING_153 as an elevated-risk signal.,recommended
RC00000014,Manual review,Review USD 2928.30 transaction before release.,recommended
RC00000014,Write risk note,Persist cluster_RING_154 as an elevated-risk signal.,recommended
RC00000015,Hold transaction,Keep USD 6822.00 held pending fraud-ops review.,recommended
RC00000015,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000015,Write pattern memory,Persist cluster_RING_155 as a future recall signal.,recommended
RC00000016,Manual review,Review USD 2278.80 transaction before release.,recommended
RC00000016,Write risk note,Persist cluster_RING_156 as an elevated-risk signal.,recommended
RC00000017,Hold transaction,Keep USD 4990.00 held pending fraud-ops review.,recommended
RC00000017,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000017,Write pattern memory,Persist cluster_RING_157 as a future recall signal.,recommended
RC00000018,Manual review,Review USD 2435.40 transaction before release.,recommended
RC00000018,Write risk note,Persist cluster_RING_158 as an elevated-risk signal.,recommended
RC00000019,Manual review,Review USD 5482.40 transaction before release.,recommended
RC00000019,Write risk note,Persist cluster_RING_159 as an elevated-risk signal.,recommended
RC00000020,Manual review,Review USD 748.80 transaction before release.,recommended
RC00000020,Write risk note,Persist cluster_RING_160 as an elevated-risk signal.,recommended
RC00000021,Manual review,Review USD 4457.40 transaction before release.,recommended
RC00000021,Write risk note,Persist cluster_RING_161 as an elevated-risk signal.,recommended
RC00000022,Manual review,Review USD 4089.30 transaction before release.,recommended
RC00000022,Write risk note,Persist cluster_RING_162 as an elevated-risk signal.,recommended
RC00000023,Hold transaction,Keep USD 1152.00 held pending fraud-ops review.,recommended
RC00000023,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000023,Write pattern memory,Persist cluster_RING_163 as a future recall signal.,recommended
RC00000024,Manual review,Review USD 3736.80 transaction before release.,recommended
RC00000024,Write risk note,Persist cluster_RING_164 as an elevated-risk signal.,recommended
RC00000025,Hold transaction,Keep USD 7690.00 held pending fraud-ops review.,recommended
RC00000025,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000025,Write pattern memory,Persist cluster_RING_165 as a future recall signal.,recommended
RC00000026,Manual review,Review USD 2722.40 transaction before release.,recommended
RC00000026,Write risk note,Persist cluster_RING_166 as an elevated-risk signal.,recommended
RC00000027,Manual review,Review USD 834.40 transaction before release.,recommended
RC00000027,Write risk note,Persist cluster_RING_167 as an elevated-risk signal.,recommended
RC00000028,Manual review,Review USD 1084.80 transaction before release.,recommended
RC00000028,Write risk note,Persist cluster_RING_168 as an elevated-risk signal.,recommended
RC00000029,Manual review,Review USD 4814.40 transaction before release.,recommended
RC00000029,Write risk note,Persist cluster_RING_169 as an elevated-risk signal.,recommended
RC00000030,Hold transaction,Keep USD 24128.00 held pending fraud-ops review.,recommended
RC00000030,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000030,Write pattern memory,Persist cluster_RING_170 as a future recall signal.,recommended
RC00000031,Manual review,Review USD 520.30 transaction before release.,recommended
RC00000031,Write risk note,Persist cluster_RING_171 as an elevated-risk signal.,recommended
RC00000032,Hold transaction,Keep USD 1782.00 held pending fraud-ops review.,recommended
RC00000032,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000032,Write pattern memory,Persist cluster_RING_172 as a future recall signal.,recommended
RC00000033,Manual review,Review USD 4114.80 transaction before release.,recommended
RC00000033,Write risk note,Persist cluster_RING_173 as an elevated-risk signal.,recommended
RC00000034,Hold transaction,Keep USD 8390.00 held pending fraud-ops review.,recommended
RC00000034,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000034,Write pattern memory,Persist cluster_RING_174 as a future recall signal.,recommended
RC00000035,Manual review,Review USD 2346.40 transaction before release.,recommended
RC00000035,Write risk note,Persist cluster_RING_175 as an elevated-risk signal.,recommended
RC00000036,Manual review,Review USD 2380.80 transaction before release.,recommended
RC00000036,Write risk note,Persist cluster_RING_176 as an elevated-risk signal.,recommended
RC00000037,Manual review,Review USD 1601.40 transaction before release.,recommended
RC00000037,Write risk note,Persist cluster_RING_177 as an elevated-risk signal.,recommended
RC00000038,Hold transaction,Keep USD 8344.00 held pending fraud-ops review.,recommended
RC00000038,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000038,Write pattern memory,Persist cluster_RING_178 as a future recall signal.,recommended
RC00000039,Manual review,Review USD 1681.30 transaction before release.,recommended
RC00000039,Write risk note,Persist cluster_RING_179 as an elevated-risk signal.,recommended
RC00000040,Hold transaction,Keep USD 4212.00 held pending fraud-ops review.,recommended
RC00000040,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000040,Write pattern memory,Persist cluster_RING_180 as a future recall signal.,recommended
RC00000041,Manual review,Review USD 712.80 transaction before release.,recommended
RC00000041,Write risk note,Persist cluster_RING_181 as an elevated-risk signal.,recommended
RC00000042,Hold transaction,Keep USD 2090.00 held pending fraud-ops review.,recommended
RC00000042,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000042,Write pattern memory,Persist cluster_RING_182 as a future recall signal.,recommended
RC00000043,Manual review,Review USD 2738.40 transaction before release.,recommended
RC00000043,Write risk note,Persist cluster_RING_183 as an elevated-risk signal.,recommended
RC00000044,Manual review,Review USD 2716.80 transaction before release.,recommended
RC00000044,Write risk note,Persist cluster_RING_184 as an elevated-risk signal.,recommended
RC00000045,Manual review,Review USD 1958.40 transaction before release.,recommended
RC00000045,Write risk note,Persist cluster_RING_185 as an elevated-risk signal.,recommended
RC00000046,Manual review,Review USD 1982.30 transaction before release.,recommended
RC00000046,Write risk note,Persist cluster_RING_186 as an elevated-risk signal.,recommended
RC00000047,Hold transaction,Keep USD 4842.00 held pending fraud-ops review.,recommended
RC00000047,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000047,Write pattern memory,Persist cluster_RING_187 as a future recall signal.,recommended
RC00000048,Hold transaction,Keep USD 2790.00 held pending fraud-ops review.,recommended
RC00000048,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000048,Write pattern memory,Persist cluster_RING_188 as a future recall signal.,recommended
RC00000049,Manual review,Review USD 4987.30 transaction before release.,recommended
RC00000049,Write risk note,Persist cluster_RING_189 as an elevated-risk signal.,recommended
RC00000050,Manual review,Review USD 4250.40 transaction before release.,recommended
RC00000050,Write risk note,Persist cluster_RING_190 as an elevated-risk signal.,recommended
RC00000051,Manual review,Review USD 4012.80 transaction before release.,recommended
RC00000051,Write risk note,Persist cluster_RING_191 as an elevated-risk signal.,recommended
RC00000052,Manual review,Review USD 3335.40 transaction before release.,recommended
RC00000052,Write risk note,Persist cluster_RING_192 as an elevated-risk signal.,recommended
RC00000053,Manual review,Review USD 3143.30 transaction before release.,recommended
RC00000053,Write risk note,Persist cluster_RING_193 as an elevated-risk signal.,recommended
RC00000054,Hold transaction,Keep USD 7272.00 held pending fraud-ops review.,recommended
RC00000054,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000054,Write pattern memory,Persist cluster_RING_194 as a future recall signal.,recommended
RC00000055,Hold transaction,Keep USD 5490.00 held pending fraud-ops review.,recommended
RC00000055,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000055,Write pattern memory,Persist cluster_RING_195 as a future recall signal.,recommended
RC00000056,Manual review,Review USD 588.30 transaction before release.,recommended
RC00000056,Write risk note,Persist cluster_RING_196 as an elevated-risk signal.,recommended
RC00000057,Hold transaction,Keep USD 11520.00 held pending fraud-ops review.,recommended
RC00000057,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000057,Write pattern memory,Persist cluster_RING_197 as a future recall signal.,recommended
RC00000058,Manual review,Review USD 4642.40 transaction before release.,recommended
RC00000058,Write risk note,Persist cluster_RING_198 as an elevated-risk signal.,recommended
RC00000059,Manual review,Review USD 4348.80 transaction before release.,recommended
RC00000059,Write risk note,Persist cluster_RING_199 as an elevated-risk signal.,recommended
RC00000060,Manual review,Review USD 3692.40 transaction before release.,recommended
RC00000060,Write risk note,Persist cluster_RING_140 as an elevated-risk signal.,recommended
RC00000061,Manual review,Review USD 3444.30 transaction before release.,recommended
RC00000061,Write risk note,Persist cluster_RING_141 as an elevated-risk signal.,recommended
RC00000062,Hold transaction,Keep USD 7902.00 held pending fraud-ops review.,recommended
RC00000062,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000062,Write pattern memory,Persist cluster_RING_142 as a future recall signal.,recommended
RC00000063,Manual review,Review USD 2019.30 transaction before release.,recommended
RC00000063,Write risk note,Persist cluster_RING_143 as an elevated-risk signal.,recommended
RC00000064,Manual review,Review USD 2061.00 transaction before release.,recommended
RC00000064,Write risk note,Persist cluster_RING_144 as an elevated-risk signal.,recommended
RC00000065,Hold transaction,Keep USD 18200.00 held pending fraud-ops review.,recommended
RC00000065,Open dispute case,Start customer-confirmation and dispute workflow.,recommended
RC00000065,Write pattern memory,Persist cluster_RING_145 as a future recall signal.,recommended
RC00000066,Manual review,Review USD 1114.40 transaction before release.,recommended
RC00000066,Write risk note,Persist cluster_RING_146 as an elevated-risk signal.,recommended
RC00000067,Manual review,Review USD 1324.80 transaction before release.,recommended
RC00000067,Write risk note,Persist cluster_RING_147 as an elevated-risk signal.,recommended
RC00000068,Hold transaction,Keep USD 4056.00 held pending fraud-ops review.,recommended
