case_id,event_order,event_type,agent_id,ts_label,payload_json,created_step
RC00000001,1,system_event,,T+0s,"{""type"":""system"",""ts"":""T+0s"",""text"":""Case RC00000001 opened from transaction TX0000000001; P2 priority.""}",1
RC00000001,2,agent_message,customer,T+2s,"{""type"":""agent"",""agent"":""customer"",""ts"":""T+2s"",""narrative"":""C000000001 generated a PAYMENT transaction for USD 600.00. The amount and flow shape are outside the normal synthetic baseline."",""finding"":""Customer anomaly: PAYMENT amount USD 600.00.""}",1
RC00000001,3,agent_message,merchant,T+4s,"{""type"":""agent"",""agent"":""merchant"",""ts"":""T+4s"",""narrative"":""M00000001 has risk score 82; the transaction matches an elevated merchant or payout pattern."",""finding"":""Merchant or beneficiary risk score 82.""}",1
RC00000001,4,agent_message,network,T+6s,"{""type"":""agent"",""agent"":""network"",""ts"":""T+6s"",""narrative"":""The case graph links customer, device, payout account, and receiver with max edge risk 70."",""finding"":""Graph risk edge observed; cluster RING-141.""}",1
RC00000001,5,agent_message,policy,T+8s,"{""type"":""agent"",""agent"":""policy"",""ts"":""T+8s"",""narrative"":""Policy match recommends conditional review before release."",""finding"":""Conditional manual review.""}",1
RC00000001,6,synthesis_ready,,T+10s,"{""type"":""synthesis"",""ts"":""T+10s"",""score"":50,""confidence"":0.78,""verdicts"":[{""agent"":""customer"",""label"":""Anomaly"",""level"":""MED"",""tone"":""warn""},{""agent"":""merchant"",""label"":""Merchant"",""level"":""HIGH"",""tone"":""danger""},{""agent"":""network"",""label"":""Network"",""level"":""MED"",""tone"":""warn""},{""agent"":""policy"",""label"":""Policy"",""level"":""REVIEW"",""tone"":""warn""}],""narrative"":""Elevated-risk investigation for RC00000001; keep under review pending confirmation."",""file"":""recommended_action_RC00000001.md"",""cited"":[{""f"":""customer_pattern_RC00000001.md"",""a"":""customer""},{""f"":""merchant_risk_RC00000001.md"",""a"":""merchant""},{""f"":""network_graph_RC00000001.json"",""a"":""network""},{""f"":""policy_match_RC00000001.md"",""a"":""policy""}],""actions"":[{""t"":""Manual review"",""d"":""Review USD 600.00 transaction before release.""},{""t"":""Write risk note"",""d"":""Persist cluster_RING_141 as an elevated-risk signal.""}]}",1
RC00000002,1,system_event,,T+0s,"{""type"":""system"",""ts"":""T+0s"",""text"":""Case RC00000002 opened from transaction TX0000000038; P2 priority.""}",38
RC00000002,2,agent_message,customer,T+2s,"{""type"":""agent"",""agent"":""customer"",""ts"":""T+2s"",""narrative"":""C000000482 generated a TRANSFER transaction for USD 867.30. The amount and flow shape are outside the normal synthetic baseline."",""finding"":""Customer anomaly: TRANSFER amount USD 867.30.""}",38
RC00000002,3,agent_message,merchant,T+4s,"{""type"":""agent"",""agent"":""merchant"",""ts"":""T+4s"",""narrative"":""C000001091 has risk score 83; the transaction matches an elevated merchant or payout pattern."",""finding"":""Merchant or beneficiary risk score 83.""}",38
RC00000002,4,agent_message,network,T+6s,"{""type"":""agent"",""agent"":""network"",""ts"":""T+6s"",""narrative"":""The case graph links customer, device, payout account, and receiver with max edge risk 70."",""finding"":""Graph risk edge observed; cluster RING-142.""}",38
RC00000002,5,agent_message,policy,T+8s,"{""type"":""agent"",""agent"":""policy"",""ts"":""T+8s"",""narrative"":""Policy match recommends conditional review before release."",""finding"":""Conditional manual review.""}",38
RC00000002,6,synthesis_ready,,T+10s,"{""type"":""synthesis"",""ts"":""T+10s"",""score"":51,""confidence"":0.78,""verdicts"":[{""agent"":""customer"",""label"":""Anomaly"",""level"":""MED"",""tone"":""warn""},{""agent"":""merchant"",""label"":""Merchant"",""level"":""HIGH"",""tone"":""danger""},{""agent"":""network"",""label"":""Network"",""level"":""MED"",""tone"":""warn""},{""agent"":""policy"",""label"":""Policy"",""level"":""REVIEW"",""tone"":""warn""}],""narrative"":""Elevated-risk investigation for RC00000002; keep under review pending confirmation."",""file"":""recommended_action_RC00000002.md"",""cited"":[{""f"":""customer_pattern_RC00000002.md"",""a"":""customer""},{""f"":""merchant_risk_RC00000002.md"",""a"":""merchant""},{""f"":""network_graph_RC00000002.json"",""a"":""network""},{""f"":""policy_match_RC00000002.md"",""a"":""policy""}],""actions"":[{""t"":""Manual review"",""d"":""Review USD 867.30 transaction before release.""},{""t"":""Write risk note"",""d"":""Persist cluster_RING_142 as an elevated-risk signal.""}]}",38
RC00000003,1,system_event,,T+0s,"{""type"":""system"",""ts"":""T+0s"",""text"":""Case RC00000003 opened from transaction TX0000000075; P2 priority.""}",75
RC00000003,2,agent_message,customer,T+2s,"{""type"":""agent"",""agent"":""customer"",""ts"":""T+2s"",""narrative"":""C000000963 generated a PAYMENT transaction for USD 1041.40. The amount and flow shape are outside the normal synthetic baseline."",""finding"":""Customer anomaly: PAYMENT amount USD 1041.40.""}",75
RC00000003,3,agent_message,merchant,T+4s,"{""type"":""agent"",""agent"":""merchant"",""ts"":""T+4s"",""narrative"":""M00001407 has risk score 84; the transaction matches an elevated merchant or payout pattern."",""finding"":""Merchant or beneficiary risk score 84.""}",75
RC00000003,4,agent_message,network,T+6s,"{""type"":""agent"",""agent"":""network"",""ts"":""T+6s"",""narrative"":""The case graph links customer, device, payout account, and receiver with max edge risk 70."",""finding"":""Graph risk edge observed; cluster RING-143.""}",75
RC00000003,5,agent_message,policy,T+8s,"{""type"":""agent"",""agent"":""policy"",""ts"":""T+8s"",""narrative"":""Policy match recommends conditional review before release."",""finding"":""Conditional manual review.""}",75
RC00000003,6,synthesis_ready,,T+10s,"{""type"":""synthesis"",""ts"":""T+10s"",""score"":51,""confidence"":0.78,""verdicts"":[{""agent"":""customer"",""label"":""Anomaly"",""level"":""MED"",""tone"":""warn""},{""agent"":""merchant"",""label"":""Merchant"",""level"":""HIGH"",""tone"":""danger""},{""agent"":""network"",""label"":""Network"",""level"":""MED"",""tone"":""warn""},{""agent"":""policy"",""label"":""Policy"",""level"":""REVIEW"",""tone"":""warn""}],""narrative"":""Elevated-risk investigation for RC00000003; keep under review pending confirmation."",""file"":""recommended_action_RC00000003.md"",""cited"":[{""f"":""customer_pattern_RC00000003.md"",""a"":""customer""},{""f"":""merchant_risk_RC00000003.md"",""a"":""merchant""},{""f"":""network_graph_RC00000003.json"",""a"":""network""},{""f"":""policy_match_RC00000003.md"",""a"":""policy""}],""actions"":[{""t"":""Manual review"",""d"":""Review USD 1041.40 transaction before release.""},{""t"":""Write risk note"",""d"":""Persist cluster_RING_143 as an elevated-risk signal.""}]}",75
RC00000004,1,system_event,,T+0s,"{""type"":""system"",""ts"":""T+0s"",""text"":""Case RC00000004 opened from transaction TX0000000260; P2 priority.""}",260
RC00000004,2,agent_message,customer,T+2s,"{""type"":""agent"",""agent"":""customer"",""ts"":""T+2s"",""narrative"":""C000003368 generated a PAYMENT transaction for USD 3578.40. The amount and flow shape are outside the normal synthetic baseline."",""finding"":""Customer anomaly: PAYMENT amount USD 3578.40.""}",260
RC00000004,3,agent_message,merchant,T+4s,"{""type"":""agent"",""agent"":""merchant"",""ts"":""T+4s"",""narrative"":""M00004922 has risk score 89; the transaction matches an elevated merchant or payout pattern."",""finding"":""Merchant or beneficiary risk score 89.""}",260
RC00000004,4,agent_message,network,T+6s,"{""type"":""agent"",""agent"":""network"",""ts"":""T+6s"",""narrative"":""The case graph links customer, device, payout account, and receiver with max edge risk 70."",""finding"":""Graph risk edge observed; cluster RING-144.""}",260
RC00000004,5,agent_message,policy,T+8s,"{""type"":""agent"",""agent"":""policy"",""ts"":""T+8s"",""narrative"":""Policy match recommends conditional review before release."",""finding"":""Conditional manual review.""}",260
RC00000004,6,synthesis_ready,,T+10s,"{""type"":""synthesis"",""ts"":""T+10s"",""score"":55,""confidence"":0.78,""verdicts"":[{""agent"":""customer"",""label"":""Anomaly"",""level"":""MED"",""tone"":""warn""},{""agent"":""merchant"",""label"":""Merchant"",""level"":""HIGH"",""tone"":""danger""},{""agent"":""network"",""label"":""Network"",""level"":""MED"",""tone"":""warn""},{""agent"":""policy"",""label"":""Policy"",""level"":""REVIEW"",""tone"":""warn""}],""narrative"":""Elevated-risk investigation for RC00000004; keep under review pending confirmation."",""file"":""recommended_action_RC00000004.md"",""cited"":[{""f"":""customer_pattern_RC00000004.md"",""a"":""customer""},{""f"":""merchant_risk_RC00000004.md"",""a"":""merchant""},{""f"":""network_graph_RC00000004.json"",""a"":""network""},{""f"":""policy_match_RC00000004.md"",""a"":""policy""}],""actions"":[{""t"":""Manual review"",""d"":""Review USD 3578.40 transaction before release.""},{""t"":""Write risk note"",""d"":""Persist cluster_RING_144 as an elevated-risk signal.""}]}",260
