id,transaction_id,priority,status,reason,created_step,unread,contact
RC00000001,TX0000000001,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,1,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000002,TX0000000038,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,38,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000003,TX0000000075,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,75,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000004,TX0000000260,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,260,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000005,TX0000000455,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,455,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000006,TX0000000492,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,492,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000007,TX0000000613,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,613,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000008,TX0000000650,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,650,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000009,TX0000000667,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,667,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000010,TX0000000808,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,64,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000011,TX0000000845,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,101,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000012,TX0000001030,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,286,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000013,TX0000001225,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,481,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000014,TX0000001262,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,518,1,Risk operations review requested for elevated merchant and amount pattern.
RC00000015,TX0000001299,P1,awaiting,PaySim-style fraud pattern: account depletion via transfer or cash-out.,555,3,Customer confirmation required: transaction pattern matches account-depletion behavior.
RC00000016,TX0000001383,P2,awaiting,High-risk merchant and amount significantly above customer baseline.,639,1,Risk operations review requested for elevated merchant and amount pattern.
